provider,product,country_iso3,signup_available,geo_restriction_notes,accepts_local_cards,accepts_local_payment_rails,rails_noted,requires_foreign_card,requires_vpn_reported,fx_or_billing_notes,evidence_type,tested_at,source_url,source_tier,captured_at,notes
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",NGA,yes,Listed by Anthropic as supported both for commercial API access and for Claude.ai access; no geo block documented. Anthropic reserves the right to withhold service from entities under majority ownership of non-listed nations.,no,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,true,false,No local-currency pricing is published by Anthropic for this market; subscriptions and API are billed in USD.,reported,,https://techcabal.com/2026/08/17/how-to-pay-for-premium-ai-tools-like-chatgpt-plus-and-claude-pro-in-nigeria/,tier2_press_sponsored,2026-09-21T12:48:21Z,Reported that Nigerian naira cards (esp. Verve/naira Mastercard) are declined for Claude Pro because it is billed monthly in USD; domiciliary/virtual USD cards used instead. Source is a TechCabal Partner/Press Room (sponsored) post -> tier-2 press with sponsorship caveat. Signup + accepted-method statements are provider docs: https://www.anthropic.com/supported-countries ; https://support.claude.com/en/articles/8325618-paid-plan-billing-faqs ; https://support.claude.com/en/articles/9402418-why-was-my-card-declined
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",KEN,yes,Listed by Anthropic as supported both for commercial API access and for Claude.ai access; no geo block documented. Anthropic reserves the right to withhold service from entities under majority ownership of non-listed nations.,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,No local-currency pricing is published by Anthropic for this market; subscriptions and API are billed in USD.,provider_docs,,https://www.anthropic.com/supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://www.anthropic.com/supported-countries). Accepted methods = credit/debit cards only, no third-party processors (https://support.claude.com/en/articles/8325618-paid-plan-billing-faqs; https://support.claude.com/en/articles/9402418-why-was-my-card-declined). Acceptance of a card issued in this market is not stated by the provider and no source found -> unclear."
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",ZAF,yes,Listed by Anthropic as supported both for commercial API access and for Claude.ai access; no geo block documented. Anthropic reserves the right to withhold service from entities under majority ownership of non-listed nations.,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,No local-currency pricing is published by Anthropic for this market; subscriptions and API are billed in USD.,provider_docs,,https://www.anthropic.com/supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://www.anthropic.com/supported-countries). Accepted methods = credit/debit cards only, no third-party processors (https://support.claude.com/en/articles/8325618-paid-plan-billing-faqs; https://support.claude.com/en/articles/9402418-why-was-my-card-declined). Acceptance of a card issued in this market is not stated by the provider and no source found -> unclear."
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",GHA,yes,Listed by Anthropic as supported both for commercial API access and for Claude.ai access; no geo block documented. Anthropic reserves the right to withhold service from entities under majority ownership of non-listed nations.,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,No local-currency pricing is published by Anthropic for this market; subscriptions and API are billed in USD.,provider_docs,,https://www.anthropic.com/supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://www.anthropic.com/supported-countries). Accepted methods = credit/debit cards only, no third-party processors (https://support.claude.com/en/articles/8325618-paid-plan-billing-faqs; https://support.claude.com/en/articles/9402418-why-was-my-card-declined). Acceptance of a card issued in this market is not stated by the provider and no source found -> unclear."
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",EGY,yes,Listed by Anthropic as supported both for commercial API access and for Claude.ai access; no geo block documented. Anthropic reserves the right to withhold service from entities under majority ownership of non-listed nations.,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,No local-currency pricing is published by Anthropic for this market; subscriptions and API are billed in USD.,provider_docs,,https://www.anthropic.com/supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://www.anthropic.com/supported-countries). Accepted methods = credit/debit cards only, no third-party processors (https://support.claude.com/en/articles/8325618-paid-plan-billing-faqs; https://support.claude.com/en/articles/9402418-why-was-my-card-declined). Acceptance of a card issued in this market is not stated by the provider and no source found -> unclear."
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",MAR,yes,Listed by Anthropic as supported both for commercial API access and for Claude.ai access; no geo block documented. Anthropic reserves the right to withhold service from entities under majority ownership of non-listed nations.,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,No local-currency pricing is published by Anthropic for this market; subscriptions and API are billed in USD.,provider_docs,,https://www.anthropic.com/supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://www.anthropic.com/supported-countries). Accepted methods = credit/debit cards only, no third-party processors (https://support.claude.com/en/articles/8325618-paid-plan-billing-faqs; https://support.claude.com/en/articles/9402418-why-was-my-card-declined). Acceptance of a card issued in this market is not stated by the provider and no source found -> unclear."
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",ETH,yes,Listed by Anthropic as supported both for commercial API access and for Claude.ai access; no geo block documented. Anthropic reserves the right to withhold service from entities under majority ownership of non-listed nations.,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,No local-currency pricing is published by Anthropic for this market; subscriptions and API are billed in USD.,provider_docs,,https://www.anthropic.com/supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://www.anthropic.com/supported-countries). Accepted methods = credit/debit cards only, no third-party processors (https://support.claude.com/en/articles/8325618-paid-plan-billing-faqs; https://support.claude.com/en/articles/9402418-why-was-my-card-declined). Acceptance of a card issued in this market is not stated by the provider and no source found -> unclear."
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",RWA,yes,Listed by Anthropic as supported both for commercial API access and for Claude.ai access; no geo block documented. Anthropic reserves the right to withhold service from entities under majority ownership of non-listed nations.,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,No local-currency pricing is published by Anthropic for this market; subscriptions and API are billed in USD.,provider_docs,,https://www.anthropic.com/supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://www.anthropic.com/supported-countries). Accepted methods = credit/debit cards only, no third-party processors (https://support.claude.com/en/articles/8325618-paid-plan-billing-faqs; https://support.claude.com/en/articles/9402418-why-was-my-card-declined). Acceptance of a card issued in this market is not stated by the provider and no source found -> unclear."
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",SEN,yes,Listed by Anthropic as supported both for commercial API access and for Claude.ai access; no geo block documented. Anthropic reserves the right to withhold service from entities under majority ownership of non-listed nations.,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,No local-currency pricing is published by Anthropic for this market; subscriptions and API are billed in USD.,provider_docs,,https://www.anthropic.com/supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://www.anthropic.com/supported-countries). Accepted methods = credit/debit cards only, no third-party processors (https://support.claude.com/en/articles/8325618-paid-plan-billing-faqs; https://support.claude.com/en/articles/9402418-why-was-my-card-declined). Acceptance of a card issued in this market is not stated by the provider and no source found -> unclear."
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",CIV,yes,Listed by Anthropic as supported both for commercial API access and for Claude.ai access; no geo block documented. Anthropic reserves the right to withhold service from entities under majority ownership of non-listed nations.,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,No local-currency pricing is published by Anthropic for this market; subscriptions and API are billed in USD.,provider_docs,,https://www.anthropic.com/supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://www.anthropic.com/supported-countries). Accepted methods = credit/debit cards only, no third-party processors (https://support.claude.com/en/articles/8325618-paid-plan-billing-faqs; https://support.claude.com/en/articles/9402418-why-was-my-card-declined). Acceptance of a card issued in this market is not stated by the provider and no source found -> unclear."
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),NGA,yes,"Available: listed in Google's Gemini web-app country list and in the Gemini API / Google AI Studio available-regions list, and the country appears in Google One's fully-supported list (the paid AI Pro route).",yes,no,Verve (local card scheme) accepted; no mobile-money/carrier rail listed.,false,false,Google Play/Google One billing is in the account's Play country currency where supported; no per-country FX statement issues found.,provider_docs,,https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DNG,tier1_provider_docs,2026-09-21T12:48:21Z,"Google Play country payment-methods page for this country (https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DNG) Google Play country page for Nigeria documents Verve plus JCB/Mastercard/Visa. Signup lists: https://support.google.com/gemini/answer/13575153 ; https://ai.google.dev/gemini-api/docs/available-regions. Card *networks* are documented per country; the page does not state card-issuing-country rules, so 'yes' means the country page documents addable local card schemes (e.g. Verve in Nigeria) and standard Visa/Mastercard networks for accounts in that country."
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),KEN,yes,"Available: listed in Google's Gemini web-app country list and in the Gemini API / Google AI Studio available-regions list, and the country appears in Google One's fully-supported list (the paid AI Pro route).",yes,yes,Airtel Money carrier wallet accepted per Google's Kenya Play page; M-Pesa Xpress billing documented by Safaricom as a Google Play payment option for Kenyan M-PESA accounts; cards JCB/Mastercard/Visa accepted.,false,false,Google Play/Google One billing is in the account's Play country currency where supported; no per-country FX statement issues found.,provider_docs,,https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DKE,tier1_provider_docs,2026-09-21T12:48:21Z,"Google Play country payment-methods page for this country (https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DKE) Google Play country page for Kenya lists JCB/Mastercard/Visa as addable card networks. Signup lists: https://support.google.com/gemini/answer/13575153 ; https://ai.google.dev/gemini-api/docs/available-regions. Card *networks* are documented per country; the page does not state card-issuing-country rules, so 'yes' means the country page documents addable local card schemes (e.g. Verve in Nigeria) and standard Visa/Mastercard networks for accounts in that country. M-Pesa as a Play payment rail is documented by the carrier (Safaricom): https://www.safaricom.co.ke/media-center-landing/frequently-asked-questions/google-play-m-pesa-integration (page last updated 2023-09-22); Google's current Kenya page lists Airtel Money only, so the M-Pesa rail is carrier-provided and older than Google's page."
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),ZAF,yes,"Available: listed in Google's Gemini web-app country list and in the Gemini API / Google AI Studio available-regions list, and the country appears in Google One's fully-supported list (the paid AI Pro route).",yes,yes,"Mobile phone billing via MTN, Telkom, Vodacom; cards American Express/Mastercard/PayPal/Visa.",false,false,Google Play/Google One billing is in the account's Play country currency where supported; no per-country FX statement issues found.,provider_docs,,https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DZA,tier1_provider_docs,2026-09-21T12:48:21Z,"Google Play country payment-methods page for this country (https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DZA) Google Play country page for South Africa lists Amex/Mastercard/Visa. Signup lists: https://support.google.com/gemini/answer/13575153 ; https://ai.google.dev/gemini-api/docs/available-regions. Card *networks* are documented per country; the page does not state card-issuing-country rules, so 'yes' means the country page documents addable local card schemes (e.g. Verve in Nigeria) and standard Visa/Mastercard networks for accounts in that country."
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),GHA,yes,"Available: listed in Google's Gemini web-app country list and in the Gemini API / Google AI Studio available-regions list, and the country appears in Google One's fully-supported list (the paid AI Pro route).",yes,yes,Carrier wallets MTN Mobile Money and Vodafone Cash; cards Amex/Mastercard/Visa.,false,false,Google Play/Google One billing is in the account's Play country currency where supported; no per-country FX statement issues found.,provider_docs,,https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DGH,tier1_provider_docs,2026-09-21T12:48:21Z,"Google Play country payment-methods page for this country (https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DGH) Google Play country page for Ghana lists Amex/Mastercard/Visa. Signup lists: https://support.google.com/gemini/answer/13575153 ; https://ai.google.dev/gemini-api/docs/available-regions. Card *networks* are documented per country; the page does not state card-issuing-country rules, so 'yes' means the country page documents addable local card schemes (e.g. Verve in Nigeria) and standard Visa/Mastercard networks for accounts in that country."
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),EGY,yes,"Available: listed in Google's Gemini web-app country list and in the Gemini API / Google AI Studio available-regions list, and the country appears in Google One's fully-supported list (the paid AI Pro route).",yes,yes,Mobile phone billing via Vodafone and e&; cards Amex/Mastercard/Visa.,false,false,Google Play/Google One billing is in the account's Play country currency where supported; no per-country FX statement issues found.,provider_docs,,https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DEG,tier1_provider_docs,2026-09-21T12:48:21Z,"Google Play country payment-methods page for this country (https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DEG) Google Play country page for Egypt lists Amex/Mastercard/Visa. Signup lists: https://support.google.com/gemini/answer/13575153 ; https://ai.google.dev/gemini-api/docs/available-regions. Card *networks* are documented per country; the page does not state card-issuing-country rules, so 'yes' means the country page documents addable local card schemes (e.g. Verve in Nigeria) and standard Visa/Mastercard networks for accounts in that country."
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),MAR,yes,"Available: listed in Google's Gemini web-app country list and in the Gemini API / Google AI Studio available-regions list, and the country appears in Google One's fully-supported list (the paid AI Pro route).",yes,yes,Mobile phone billing via Maroc Telecom; cards Amex/Discover/JCB/Mastercard/Visa.,false,false,Google Play/Google One billing is in the account's Play country currency where supported; no per-country FX statement issues found.,provider_docs,,https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DMA,tier1_provider_docs,2026-09-21T12:48:21Z,"Google Play country payment-methods page for this country (https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DMA) Google Play country page for Morocco lists Amex/Discover/JCB/Mastercard/Visa. Signup lists: https://support.google.com/gemini/answer/13575153 ; https://ai.google.dev/gemini-api/docs/available-regions. Card *networks* are documented per country; the page does not state card-issuing-country rules, so 'yes' means the country page documents addable local card schemes (e.g. Verve in Nigeria) and standard Visa/Mastercard networks for accounts in that country."
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),ETH,yes,"Gemini web app and the Gemini API/AI Studio are available in Ethiopia, but Ethiopia is NOT in Google's list of countries where Google One is fully supported, so the paid Google AI Pro subscription route is not listed as available there.",unclear,unclear,"No country-specific Google Play payment-methods page exists for this country (the co=GENIE.CountryCode parameter returns the generic default page); the generic page lists Amex/Discover/JCB/Mastercard/Visa for countries without a specific page, and no local rail is named for this market.",unclear,false,Google One / Google AI Pro is not listed as available for Ethiopia (https://support.google.com/googleone/answer/9080668); Gemini app and API access are documented as available.,provider_docs,,https://support.google.com/gemini/answer/13575153,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://support.google.com/gemini/answer/13575153 ; https://ai.google.dev/gemini-api/docs/available-regions). Google Play payment methods: no country-specific page found (checked https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DET), so local-card acceptance is unclear rather than assumed. Google One availability list: https://support.google.com/googleone/answer/9080668"
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),RWA,yes,"Available: listed in Google's Gemini web-app country list and in the Gemini API / Google AI Studio available-regions list, and the country appears in Google One's fully-supported list (the paid AI Pro route).",unclear,unclear,"No country-specific Google Play payment-methods page exists for this country (the co=GENIE.CountryCode parameter returns the generic default page); the generic page lists Amex/Discover/JCB/Mastercard/Visa for countries without a specific page, and no local rail is named for this market.",unclear,false,Google Play/Google One billing is in the account's Play country currency where supported; no per-country FX statement issues found.,provider_docs,,https://support.google.com/gemini/answer/13575153,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://support.google.com/gemini/answer/13575153 ; https://ai.google.dev/gemini-api/docs/available-regions). Google Play payment methods: no country-specific page found (checked https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DRW), so local-card acceptance is unclear rather than assumed. Google One availability list: https://support.google.com/googleone/answer/9080668"
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),SEN,yes,"Available: listed in Google's Gemini web-app country list and in the Gemini API / Google AI Studio available-regions list, and the country appears in Google One's fully-supported list (the paid AI Pro route).",unclear,unclear,"No country-specific Google Play payment-methods page exists for this country (the co=GENIE.CountryCode parameter returns the generic default page); the generic page lists Amex/Discover/JCB/Mastercard/Visa for countries without a specific page, and no local rail is named for this market.",unclear,false,Google Play/Google One billing is in the account's Play country currency where supported; no per-country FX statement issues found.,provider_docs,,https://support.google.com/gemini/answer/13575153,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://support.google.com/gemini/answer/13575153 ; https://ai.google.dev/gemini-api/docs/available-regions). Google Play payment methods: no country-specific page found (checked https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DSN), so local-card acceptance is unclear rather than assumed. Google One availability list: https://support.google.com/googleone/answer/9080668"
