headline,source,date,url
"The World Is Looking for Digital Workers, and Africa Is Next",HiPipo Money,Aug 22,https://www.money.hipipo.com/2026/08/22/the-world-is-looking-for-digital-workers-and-africa-is-next/
South Africa's Unemployment Rate Climbs to 33.6% in Q2 2026,Rio Times,Aug 20,https://www.riotimesonline.com/south-africa-unemployment-rises-336-q2-2026/
CentaurBench: Benchmarking LLM Capabilities on Augmenting vs. Automating Real-World Work Tasks,arXiv,Aug 19,https://arxiv.org/abs/2608.18554
AI is Making Call Centres More Expensive - Not Cheaper,TechEconomy,Aug 19,https://techeconomy.ng/ai-is-making-call-centres-more-expensive-not-cheaper
Kenya: 'Jobs Will Be Lost' - Thigo Urges Kenyans to Adapt to AI Revolution,allAfrica,Aug 17,https://allafrica.com/stories/202608170255.html
AI disruption: 9m Nigerian jobs may disappear by 2030 –Experts,The Sun Nigeria,Aug 17,https://thesun.ng/ai-disruption-9m-nigerian-jobs-may-disappear-by-2030-experts/
Stranded credentials: how a skill-signaling market absorbed generative AI,arXiv,Aug 17,https://arxiv.org/abs/2608.17111
"AI Will Take Some Jobs - but Create 78 Million More, Kenya's Tech Envoy Forecasts",AllAfrica (Capital FM),Aug 17,https://allafrica.com/stories/202608170191.html
"Global youth unemployment rises to 67 million, ILO warns",Capital Ethiopia,Aug 16,https://capitalethiopia.com/2026/08/16/global-youth-unemployment-rises-to-67-million-ilo-warns/
Oracle plans fresh August layoffs as its AI spending spree bites,TNW,Aug 13,https://thenextweb.com/news/oracle-august-2026-layoffs-ai-capex
Kenya and AWS deepen partnership to build globally competitive digital talent,TechAfrica News,Aug 13,https://techafricanews.com/2026/08/13/kenya-and-aws-deepen-partnership-to-build-globally-competitive-digital-talent/
"AI-linked layoffs hit 205,000 workers in 2026: report",Outsource Accelerator,Aug 12,https://news.outsourceaccelerator.com/ai-layoffs-205000/
AI was supposed to destroy jobs. Where's the carnage?,The Guardian,Aug 12,https://www.theguardian.com/technology/2026/aug/12/ai-job-destruction
Artificial Intelligence: Driving a New Era of Employment in Africa,Right for Education,Aug 10,https://rightforeducation.org/2026/08/10/artificial-intelligence-new-era-of-employment/
White House adviser says companies may be 'AI-washing' layoffs,Memeburn,Aug 9,https://memeburn.com/white-house-adviser-says-companies-may-be-ai-washing-layoffs/
The AI skills employers are actually paying for,Techpoint Africa,Aug 7,https://techpoint.africa/insight/ai-skills-employers-look-for/
"World Bank: AI won't replace most jobs in Africa, power and Internet remain major hurdles",Techpoint Africa,Aug 6,https://techpoint.africa/news/ai-wont-replace-jobs-in-africa/
"AI offers jobs boost for developing countries, not job losses - World Bank",The Star Kenya,Aug 6,https://www.the-star.co.ke/business/2026-08-06-ai-offers-jobs-boost-for-developing-countries-not-job-losses-world-bank
India's IT sector is surviving artificial intelligence,The Economist,Aug 6,https://www.economist.com/finance-and-economics/2026/08/06/indias-it-sector-is-surviving-artificial-intelligence
Workers Reflect on Challenges Amid AI Transition,GhanaWebbers,Aug 5,https://www.ghanawebbers.com/GhanaHomePage/business/Workers-Reflect-on-Challenges-Amid-AI-Transition-2165040
Nigeria faces AI crossroads as 9m jobs risk automation without local innovation,BusinessDay NG,Aug 4,https://businessday.ng/technology/article/nigeria-faces-ai-crossroads-as-9m-jobs-risk-automation-without-local-innovation/
"AI is changing SA's call centres, but it won't replace every job: industry player",EWN,Jul 31,https://www.ewn.co.za/2026/07/31/ai-is-changing-sas-call-centres-but-it-wont-replace-every-job-industry-player
Fiverr stock today: Freelance marketplace's collapse proves AI is decimating the gig economy,Fast Company,Jul 29,https://www.fastcompany.com/91581820/fiverr-stock-today-fvrr-freelance-marketplace-collapse-proves-ai-is-decimating-gig-economy-2026-q2-earnings
AI Job Squeeze Threatens 3.3 Million South African Workers,Rio Times,Jul 29,https://www.riotimesonline.com/south-africa-call-centre-ai-job-squeeze-2026/
Joburg call centre workers lose jobs amid big shift to AI,News24,Jul 28,https://www.news24.com/business/tech/joburg-call-centre-workers-lose-jobs-amid-big-shift-to-ai-20260728-0785
Gartner Survey: AI Automation Reducing Entry-Level Hiring at Nearly One-Quarter of Organizations,Gartner,Jul 27,https://www.gartner.com/en/newsroom/press-releases/2026-7-27-gartner-survey-finds-ai-automation-is-reducing-some-entry-level-hiring-at-nearly-one-quarter-of-organizations
Morocco Breaks Into Global Top 20 for AI-Ready Outsourcing,Morocco World News,Jul 24,https://www.moroccoworldnews.com/2026/07/330825/morocco-breaks-into-global-top-20-for-ai-ready-outsourcing/
Kenya's New Pay & Mental Health Rules For AI Data Workers,Weetracker,Jul 24,https://weetracker.com/2026/07/24/kenya-ai-minimum-pay-mental-healthcare-workers/
AI layoffs: 10 companies that cut jobs in H1 2026 and why,Technext24,Jul 24,https://technext24.com/reviews/10-ai-driven-layoff-in-h1-2026-and-why/
"Nigeria's AI-skilled workforce is moving faster than its businesses, creating the widest adoption gap among major outsourcing markets",Business Insider Africa,Jul 23,https://africa.businessinsider.com/local/markets/nigerias-ai-skilled-workforce-is-moving-faster-than-its-businesses-creating-the/e7sb4sh
"New BPESA Guide Targets 500,000 Jobs by 2030",Business Explainer,Jul 23,https://businessexplainer.co.za/new-bpesa-guide-targets-500000-jobs-by-2030/
AI Strategies and the Informal Economy: Africa's Job Creation Test,CSIS,Jul 22,https://www.csis.org/analysis/ai-strategies-and-informal-economy-africas-job-creation-test
Agentic AI and the Future of Work in Service-Export Economies,ORF Online,Jul 21,https://www.orfonline.org/research/agentic-ai-and-the-future-of-work-in-service-export-economies
"African tech layoffs hit record high as AI, banking mergers eliminate 2,500 jobs in H1 2026",Businessday NG,Jul 21,https://businessday.ng/technology/article/african-tech-layoffs-hit-record-high-as-ai-banking-mergers-eliminate-2500-jobs-in-h1-2026/
Upwork Future Workforce Index 2026: AI redefining value of work as skilled freelancing accelerates,Upwork Research,Jul 14,https://www.upwork.com/research/research-future-workforce-index-2026
Brain Drain and Weak Capital Flows Challenge Africa's AI Ambitions,Ecofin Agency,Jul 14,https://www.ecofinagency.com/news-services/1407-57352-brain-drain-and-weak-capital-flows-challenge-africas-ai-ambitions
Africa's Rise in AI Micro-Work Economy,FunTimes Magazine,Jul 13,https://funtimesmagazine.com/africas-rise-in-ai-micro-work-economy/
Hundreds of experts warn the world must prepare now for AI's impact,Aljazeera,Jul 13,https://www.aljazeera.com/economy/2026/7/13/hundreds-of-experts-warn-the-world-must-prepare-now-for-ais-impact
Future of work: Africa must prepare workforce for AI economy,CNBC Africa,Jul 10,https://www.cnbcafrica.com/media/7783695551836/future-of-work-africa-must-prepare-workforce-for-ai-economy-muraga
"Why Africa's workforce, not just its startups, must be AI-ready",TechCabal,Jul 8,https://techcabal.com/2026/06/19/africa-workforce-ai-ready/
"AI may not take your job, but it could change how careers begin",iAfrica.com,Jul 7,https://iafrica.com/ai-may-not-take-your-job-but-it-could-change-how-careers-begin/
What Digital Jobs Are Left for Africa in an Age of AI?,Jobtech Alliance,May 25,https://jobtechalliance.com/what-digital-jobs-are-left-for-africa-in-an-age-of-ai/
The impact of AI-generated content on freelance writers in Africa,African Freelancers,May 22,https://www.africanfreelancers.com/2026/05/the-impact-of-ai-generated-content-on-freelance-writers-in-africa/
AI and jobs in Africa: turning disruption into opportunity,UN Economic Commission for Africa,May 16,https://www.uneca.org/stories/ai-and-jobs-in-africa-turning-disruption-into-opportunity
40% of Tasks in Africa's Tech Outsourcing May Be Affected by AI by 2030,Mastercard Foundation,Apr 25,https://mastercardfdn.org/en/news/40percent-of-tasks-in-africas-growing-tech-outsourcing-sector-may-be-affected-by-ai-by-2030/
South Africa's gig economy becomes a bargain with AI skills shortage looming,WeeTracker,Mar 31,https://weetracker.com/2026/03/31/south-africa-freelance-economy-ai-talent-gap-2026/
AI Could Undermine Emerging Economies,"Deric Cheng, AI Frontiers",Dec 25,https://ai-frontiers.org/articles/ai-could-undermine-emerging-economies
