provider,product,country_iso3,signup_available,accepts_local_cards,accepts_local_payment_rails,rails_noted,requires_foreign_card,requires_vpn_reported,evidence_type,evidence_status,temporal_status,headline_eligible,source_url,compiled
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),GHA,yes,yes,yes,Carrier wallets MTN Mobile Money and Vodafone Cash; cards Amex/Mastercard/Visa.,false,false,provider_docs,official,measured,True,https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DGH,2026-09-21
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),EGY,yes,yes,yes,Mobile phone billing via Vodafone and e&; cards Amex/Mastercard/Visa.,false,false,provider_docs,official,measured,True,https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DEG,2026-09-21
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),MAR,yes,yes,yes,Mobile phone billing via Maroc Telecom; cards Amex/Discover/JCB/Mastercard/Visa.,false,false,provider_docs,official,measured,True,https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DMA,2026-09-21
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),ETH,yes,unclear,unclear,"No country-specific Google Play payment-methods page exists for this country (the co=GENIE.CountryCode parameter returns the generic default page); the generic page lists Amex/Discover/JCB/Mastercard/Visa for countries without a specific page, and no local rail is named for this market.",unclear,false,provider_docs,official,measured,True,https://support.google.com/gemini/answer/13575153,2026-09-21
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),RWA,yes,unclear,unclear,"No country-specific Google Play payment-methods page exists for this country (the co=GENIE.CountryCode parameter returns the generic default page); the generic page lists Amex/Discover/JCB/Mastercard/Visa for countries without a specific page, and no local rail is named for this market.",unclear,false,provider_docs,official,measured,True,https://support.google.com/gemini/answer/13575153,2026-09-21
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),SEN,yes,unclear,unclear,"No country-specific Google Play payment-methods page exists for this country (the co=GENIE.CountryCode parameter returns the generic default page); the generic page lists Amex/Discover/JCB/Mastercard/Visa for countries without a specific page, and no local rail is named for this market.",unclear,false,provider_docs,official,measured,True,https://support.google.com/gemini/answer/13575153,2026-09-21
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),CIV,yes,unclear,unclear,"No country-specific Google Play payment-methods page exists for this country (the co=GENIE.CountryCode parameter returns the generic default page); the generic page lists Amex/Discover/JCB/Mastercard/Visa for countries without a specific page, and no local rail is named for this market.",unclear,false,provider_docs,official,measured,True,https://support.google.com/gemini/answer/13575153,2026-09-21
xAI,Grok (grok.com + apps + in-X) and xAI API,NGA,unclear,unclear,unclear,No local rails documented. xAI/Grok billing help references managing a credit card in the grok.com billing portal only.,unclear,unclear,provider_tos,official,measured,True,https://x.ai/legal/terms-of-service,2026-09-21
xAI,Grok (grok.com + apps + in-X) and xAI API,KEN,unclear,unclear,unclear,No local rails documented. xAI/Grok billing help references managing a credit card in the grok.com billing portal only.,unclear,unclear,provider_tos,official,measured,True,https://x.ai/legal/terms-of-service,2026-09-21
xAI,Grok (grok.com + apps + in-X) and xAI API,ZAF,unclear,unclear,unclear,No local rails documented. xAI/Grok billing help references managing a credit card in the grok.com billing portal only.,unclear,unclear,provider_tos,official,measured,True,https://x.ai/legal/terms-of-service,2026-09-21
xAI,Grok (grok.com + apps + in-X) and xAI API,GHA,unclear,unclear,unclear,No local rails documented. xAI/Grok billing help references managing a credit card in the grok.com billing portal only.,unclear,unclear,provider_tos,official,measured,True,https://x.ai/legal/terms-of-service,2026-09-21
xAI,Grok (grok.com + apps + in-X) and xAI API,EGY,unclear,unclear,unclear,No local rails documented. xAI/Grok billing help references managing a credit card in the grok.com billing portal only.,unclear,unclear,provider_tos,official,measured,True,https://x.ai/legal/terms-of-service,2026-09-21
xAI,Grok (grok.com + apps + in-X) and xAI API,MAR,unclear,unclear,unclear,No local rails documented. xAI/Grok billing help references managing a credit card in the grok.com billing portal only.,unclear,unclear,provider_tos,official,measured,True,https://x.ai/legal/terms-of-service,2026-09-21
xAI,Grok (grok.com + apps + in-X) and xAI API,ETH,unclear,unclear,unclear,No local rails documented. xAI/Grok billing help references managing a credit card in the grok.com billing portal only.,unclear,unclear,provider_tos,official,measured,True,https://x.ai/legal/terms-of-service,2026-09-21
xAI,Grok (grok.com + apps + in-X) and xAI API,RWA,unclear,unclear,unclear,No local rails documented. xAI/Grok billing help references managing a credit card in the grok.com billing portal only.,unclear,unclear,provider_tos,official,measured,True,https://x.ai/legal/terms-of-service,2026-09-21
xAI,Grok (grok.com + apps + in-X) and xAI API,SEN,unclear,unclear,unclear,No local rails documented. xAI/Grok billing help references managing a credit card in the grok.com billing portal only.,unclear,unclear,provider_tos,official,measured,True,https://x.ai/legal/terms-of-service,2026-09-21
xAI,Grok (grok.com + apps + in-X) and xAI API,CIV,unclear,unclear,unclear,No local rails documented. xAI/Grok billing help references managing a credit card in the grok.com billing portal only.,unclear,unclear,provider_tos,official,measured,True,https://x.ai/legal/terms-of-service,2026-09-21
Perplexity,"Perplexity (Free/Pro/Max, web + apps)",NGA,unclear,unclear,no,"No African local rail. Documented methods: credit/debit cards (Visa, Mastercard, AMEX), Cash App, Google Pay, Apple Pay and ACH transfer.",unclear,unclear,provider_docs,official,measured,True,https://www.perplexity.ai/help-center/en/articles/10353002-billing-faq-for-pro-plan-subscribers,2026-09-21
Perplexity,"Perplexity (Free/Pro/Max, web + apps)",KEN,unclear,unclear,no,"No African local rail. Documented methods: credit/debit cards (Visa, Mastercard, AMEX), Cash App, Google Pay, Apple Pay and ACH transfer.",unclear,unclear,provider_docs,official,measured,True,https://www.perplexity.ai/help-center/en/articles/10353002-billing-faq-for-pro-plan-subscribers,2026-09-21
Perplexity,"Perplexity (Free/Pro/Max, web + apps)",ZAF,unclear,unclear,no,"No African local rail. Documented methods: credit/debit cards (Visa, Mastercard, AMEX), Cash App, Google Pay, Apple Pay and ACH transfer.",unclear,unclear,provider_docs,official,measured,True,https://www.perplexity.ai/help-center/en/articles/10353002-billing-faq-for-pro-plan-subscribers,2026-09-21
Perplexity,"Perplexity (Free/Pro/Max, web + apps)",GHA,unclear,unclear,no,"No African local rail. Documented methods: credit/debit cards (Visa, Mastercard, AMEX), Cash App, Google Pay, Apple Pay and ACH transfer.",unclear,unclear,provider_docs,official,measured,True,https://www.perplexity.ai/help-center/en/articles/10353002-billing-faq-for-pro-plan-subscribers,2026-09-21
Perplexity,"Perplexity (Free/Pro/Max, web + apps)",EGY,unclear,unclear,no,"No African local rail. Documented methods: credit/debit cards (Visa, Mastercard, AMEX), Cash App, Google Pay, Apple Pay and ACH transfer.",unclear,unclear,provider_docs,official,measured,True,https://www.perplexity.ai/help-center/en/articles/10353002-billing-faq-for-pro-plan-subscribers,2026-09-21
Perplexity,"Perplexity (Free/Pro/Max, web + apps)",MAR,unclear,unclear,no,"No African local rail. Documented methods: credit/debit cards (Visa, Mastercard, AMEX), Cash App, Google Pay, Apple Pay and ACH transfer.",unclear,unclear,provider_docs,official,measured,True,https://www.perplexity.ai/help-center/en/articles/10353002-billing-faq-for-pro-plan-subscribers,2026-09-21
Perplexity,"Perplexity (Free/Pro/Max, web + apps)",ETH,unclear,unclear,no,"No African local rail. Documented methods: credit/debit cards (Visa, Mastercard, AMEX), Cash App, Google Pay, Apple Pay and ACH transfer.",unclear,unclear,provider_docs,official,measured,True,https://www.perplexity.ai/help-center/en/articles/10353002-billing-faq-for-pro-plan-subscribers,2026-09-21
Perplexity,"Perplexity (Free/Pro/Max, web + apps)",RWA,unclear,unclear,no,"No African local rail. Documented methods: credit/debit cards (Visa, Mastercard, AMEX), Cash App, Google Pay, Apple Pay and ACH transfer.",unclear,unclear,provider_docs,official,measured,True,https://www.perplexity.ai/help-center/en/articles/10353002-billing-faq-for-pro-plan-subscribers,2026-09-21
Perplexity,"Perplexity (Free/Pro/Max, web + apps)",SEN,unclear,unclear,no,"No African local rail. Documented methods: credit/debit cards (Visa, Mastercard, AMEX), Cash App, Google Pay, Apple Pay and ACH transfer.",unclear,unclear,provider_docs,official,measured,True,https://www.perplexity.ai/help-center/en/articles/10353002-billing-faq-for-pro-plan-subscribers,2026-09-21
Perplexity,"Perplexity (Free/Pro/Max, web + apps)",CIV,unclear,unclear,no,"No African local rail. Documented methods: credit/debit cards (Visa, Mastercard, AMEX), Cash App, Google Pay, Apple Pay and ACH transfer.",unclear,unclear,provider_docs,official,measured,True,https://www.perplexity.ai/help-center/en/articles/10353002-billing-faq-for-pro-plan-subscribers,2026-09-21
DeepSeek,DeepSeek Chat (web + apps) and DeepSeek API Platform,NGA,unclear,unclear,unclear,"No payment methods are documented in DeepSeek's public Terms of Use or API docs. Third-party guides report overseas API top-ups processed via PayPal/Alipay/WeChat Pay (tier-3 sources, not verified, not used as evidence).",unclear,unclear,provider_tos,official,measured,True,https://cdn.deepseek.com/policies/en-US/deepseek-terms-of-use.html?locale=en_US,2026-09-21
DeepSeek,DeepSeek Chat (web + apps) and DeepSeek API Platform,KEN,unclear,unclear,unclear,"No payment methods are documented in DeepSeek's public Terms of Use or API docs. Third-party guides report overseas API top-ups processed via PayPal/Alipay/WeChat Pay (tier-3 sources, not verified, not used as evidence).",unclear,unclear,provider_tos,official,measured,True,https://cdn.deepseek.com/policies/en-US/deepseek-terms-of-use.html?locale=en_US,2026-09-21
DeepSeek,DeepSeek Chat (web + apps) and DeepSeek API Platform,ZAF,unclear,unclear,unclear,"No payment methods are documented in DeepSeek's public Terms of Use or API docs. Third-party guides report overseas API top-ups processed via PayPal/Alipay/WeChat Pay (tier-3 sources, not verified, not used as evidence).",unclear,unclear,provider_tos,official,measured,True,https://cdn.deepseek.com/policies/en-US/deepseek-terms-of-use.html?locale=en_US,2026-09-21
DeepSeek,DeepSeek Chat (web + apps) and DeepSeek API Platform,GHA,unclear,unclear,unclear,"No payment methods are documented in DeepSeek's public Terms of Use or API docs. Third-party guides report overseas API top-ups processed via PayPal/Alipay/WeChat Pay (tier-3 sources, not verified, not used as evidence).",unclear,unclear,provider_tos,official,measured,True,https://cdn.deepseek.com/policies/en-US/deepseek-terms-of-use.html?locale=en_US,2026-09-21
DeepSeek,DeepSeek Chat (web + apps) and DeepSeek API Platform,EGY,unclear,unclear,unclear,"No payment methods are documented in DeepSeek's public Terms of Use or API docs. Third-party guides report overseas API top-ups processed via PayPal/Alipay/WeChat Pay (tier-3 sources, not verified, not used as evidence).",unclear,unclear,provider_tos,official,measured,True,https://cdn.deepseek.com/policies/en-US/deepseek-terms-of-use.html?locale=en_US,2026-09-21
DeepSeek,DeepSeek Chat (web + apps) and DeepSeek API Platform,MAR,unclear,unclear,unclear,"No payment methods are documented in DeepSeek's public Terms of Use or API docs. Third-party guides report overseas API top-ups processed via PayPal/Alipay/WeChat Pay (tier-3 sources, not verified, not used as evidence).",unclear,unclear,provider_tos,official,measured,True,https://cdn.deepseek.com/policies/en-US/deepseek-terms-of-use.html?locale=en_US,2026-09-21
DeepSeek,DeepSeek Chat (web + apps) and DeepSeek API Platform,ETH,unclear,unclear,unclear,"No payment methods are documented in DeepSeek's public Terms of Use or API docs. Third-party guides report overseas API top-ups processed via PayPal/Alipay/WeChat Pay (tier-3 sources, not verified, not used as evidence).",unclear,unclear,provider_tos,official,measured,True,https://cdn.deepseek.com/policies/en-US/deepseek-terms-of-use.html?locale=en_US,2026-09-21
DeepSeek,DeepSeek Chat (web + apps) and DeepSeek API Platform,RWA,unclear,unclear,unclear,"No payment methods are documented in DeepSeek's public Terms of Use or API docs. Third-party guides report overseas API top-ups processed via PayPal/Alipay/WeChat Pay (tier-3 sources, not verified, not used as evidence).",unclear,unclear,provider_tos,official,measured,True,https://cdn.deepseek.com/policies/en-US/deepseek-terms-of-use.html?locale=en_US,2026-09-21
DeepSeek,DeepSeek Chat (web + apps) and DeepSeek API Platform,SEN,unclear,unclear,unclear,"No payment methods are documented in DeepSeek's public Terms of Use or API docs. Third-party guides report overseas API top-ups processed via PayPal/Alipay/WeChat Pay (tier-3 sources, not verified, not used as evidence).",unclear,unclear,provider_tos,official,measured,True,https://cdn.deepseek.com/policies/en-US/deepseek-terms-of-use.html?locale=en_US,2026-09-21
DeepSeek,DeepSeek Chat (web + apps) and DeepSeek API Platform,CIV,unclear,unclear,unclear,"No payment methods are documented in DeepSeek's public Terms of Use or API docs. Third-party guides report overseas API top-ups processed via PayPal/Alipay/WeChat Pay (tier-3 sources, not verified, not used as evidence).",unclear,unclear,provider_tos,official,measured,True,https://cdn.deepseek.com/policies/en-US/deepseek-terms-of-use.html?locale=en_US,2026-09-21
